name,num_images,num_patients,modalities,body_regions,additional_data,dataset_link,link_works,paper_title,paper_link,paper_year,paper_authors,paper_journal,pmid,paper_citation_count,mesh_terms,pubmed_matches,dataset_is_available,mesh_terms_in_pubmed_matches,date_added
The Cancer Imaging Archive (TCIA),3300000.0,,"CT,MRI,X-ray","brain,chest,abdomen,pelvis,limbs","reports,captions,segmentation",,,The Cancer Imaging Archive (TCIA): maintaining and operating a public information repository.,https://doi.org/10.1007/s10278-013-9622-7,2013,"Clark K,Vendt B,Smith K,Freymann J,Kirby J,Koppel P,Moore S,Phillips S,Maffitt D,Pringle M,Tarbox L,Prior F",Journal of digital imaging,23884657,2242,"Diagnostic Imaging,Female,Humans,Information Storage and Retrieval,Male,Medical Informatics,Multimodal Imaging,National Cancer Institute (U.S.),Neoplasms,Program Evaluation,Quality Control,Radiology Information Systems,Software,United States","[['""information repository""[ti]'], ['""Radiology Information Systems""[MeSH]', '""Medical Image""[tiab]', '""Medical Imaging""[tiab]', '""Biomedical Image""[tiab]']]",True,"""Radiology Information Systems""[MeSH]",2026-03-29T01:24:30.544867
MIMIC-CXR,,65379.0,X-ray,chest,reports,http://mimic-cxr.mit.edu/,True,"MIMIC-CXR, a de-identified publicly available database of chest radiographs with free-text reports.",https://doi.org/10.1038/s41597-019-0322-0,2019,"Johnson AEW,Pollard TJ,Berkowitz SJ,Greenbaum NR,Lungren MP,Deng CY,Mark RG,Horng S",Scientific data,31831740,579,"Algorithms,Data Mining,Databases, Factual,Humans,Image Interpretation, Computer-Assisted,Natural Language Processing,Radiography, Thoracic","[['database[ti]'], ['radiology[tiab]', 'radiographs[tiab]']]",True,,2026-03-29T01:24:30.544867
UK Biobank,,100000.0,"MRI,X-ray,US","brain,abdomen,chest",,,,"The UK Biobank imaging enhancement of 100,000 participants: rationale, data collection, management and future directions.",https://doi.org/10.1038/s41467-020-15948-9,2020,"Littlejohns TJ,Holliday J,Gibson LM,Garratt S,Oesingmann N,Alfaro-Almagro F,Bell JD,Boultwood C,Collins R,Conroy MC,Crabtree N,Doherty N,Frangi AF,Harvey NC,Leeson P,Miller KL,Neubauer S,Petersen SE,Sellors J,Sheard S,Smith SM,Sudlow CLM,Matthews PM,Allen NE",Nature communications,32457287,547,"Adult,Aged,Biological Specimen Banks,Female,Humans,Image Enhancement,Incidental Findings,Information Management,Male,Middle Aged,Multimodal Imaging,United Kingdom","[['""data collection""[ti]'], ['""X-ray""[tiab]', '""Magnetic Resonance""[tiab]', 'Ultrasound[tiab]']]",False,,2026-03-29T01:24:30.544867
RadImageNet,1350000.0,131872.0,"CT,MRI,US","brain,chest,abdomen,pelvis,limbs",segmentation,,,RadImageNet: An Open Radiologic Deep Learning Research Dataset for Effective Transfer Learning.,https://doi.org/10.1148/ryai.210315,2022,"Mei X,Liu Z,Robson PM,Marinelli B,Huang M,Doshi A,Jacobi A,Cao C,Link KE,Yang T,Wang Y,Greenspan H,Deyer T,Fayad ZA,Yang Y",Radiology. Artificial intelligence,36204533,158,,"[['dataset[ti]'], ['""Medical Image""[tiab]', 'CT[tiab]', 'MRI[tiab]']]",True,,2026-03-29T01:24:30.544867
Merlin,6000000.0,15331.0,CT,abdomen,"reports,segmentation",,,Merlin: a computed tomography vision-language foundation model and dataset.,https://doi.org/10.1038/s41586-026-10181-8,2026,"Blankemeier L,Kumar A,Cohen JP,Liu J,Liu L,Van Veen D,Gardezi SJS,Yu H,Paschali M,Chen Z,Delbrouck JB,Reis E,Holland R,Truyts C,Bluethgen C,Wu Y,Lian L,Jensen MEK,Ostmeier S,Varma M,Valanarasu JMJ,Fang Z,Huo Z,Nabulsi Z,Ardila D,Weng WH,Junior EA,Ahuja N,Fries J,Shah NH,Zaharchuk G,Willis M,Yala A,Johnston A,Boutin RD,Wentland A,Langlotz CP,Hom J,Gatidis S,Chaudhari AS",Nature,41781626,2,,"[['dataset[ti]'], ['radiology[tiab]', '""Medical Image""[tiab]', 'CT[tiab]', '""Computed Tomography""[tiab]']]",True,,2026-03-29T01:24:30.544867
